,id,name,popularity
176,7087,Brad Bird,2.601507
177,151007,Peter Ramsey,2.601507
178,15002,Dean Parisot,2.601507
179,9181,Edward Zwick,2.601507
180,578,Ridley Scott,2.601507
181,15344,J.J. Abrams,2.601507
182,7623,Sam Raimi,2.601507
183,69797,Dean DeBlois,2.601507
184,21085,Alex Proyas,2.601507
185,18878,Rob Cohen,2.601507
186,15217,Zack Snyder,2.601507
187,7187,Richard Donner,2.601507
188,1614,Ang Lee,2.601507
189,54507,Jon M. Chu,2.601507
190,52609,Breck Eisner,2.601507
191,21692,Hironobu Sakaguchi,2.601507
192,21693,Motonori Sakakibara,2.601507
193,4945,Joe Johnston,2.601507
194,10781,Michael Apted,2.601507
195,2690,Peter Weir,2.601507
196,15557,Bill Condon,2.601507
197,20629,George Miller,2.601507
198,18865,Louis Leterrier,2.601507
199,488,Steven Spielberg,2.601507
200,223,Alejandro González Iñárritu,2.601507
201,94075,David Soren,2.601507
202,1704,Gore Verbinski,2.601507
203,18863,Eric Darnell,2.601507
204,44114,Simon J. Smith,2.601507
205,25598,Paul Greengrass,2.601507
206,57741,Mark Osborne,2.601507
207,57742,John Stevenson,2.601507
208,59026,Peyton Reed,2.601507
209,10943,Francis Lawrence,2.601507
210,52870,Tim Johnson,2.601507
211,488,Steven Spielberg,2.601507
212,865,Michael Bay,2.601507
213,12098,Chris Miller,2.601507
214,13015,Phillip Noyce,2.601507
215,6431,Darren Aronofsky,2.601507
216,488,Steven Spielberg,2.601507
217,11218,Alfonso Cuarón,2.601507
218,6201,Baz Luhrmann,2.601507
219,11614,M. Night Shyamalan,2.601507
220,65855,Ralph Zondag,2.601507
221,65856,Eric Leighton,2.601507
222,17825,Shawn Levy,2.601507
223,18864,Tom McGrath,2.601507
224,10965,Chris Columbus,2.601507
225,57270,Robert Schwentke,2.601507
226,1704,Gore Verbinski,2.601507
227,10943,Francis Lawrence,2.601507
228,6159,Ron Howard,2.601507
229,5714,Carlos Saldanha,2.601507
230,9032,Bryan Singer,2.601507
231,58189,Justin Lin,2.601507
232,956,Guy Ritchie,2.601507
233,18865,Louis Leterrier,2.601507
234,10491,Paul Verhoeven,2.601507
235,1090,John McTiernan,2.601507
236,19242,Tony Gilroy,2.601507
237,5572,Joel Schumacher,2.601507
238,6159,Ron Howard,2.601507
239,6046,Roland Emmerich,2.601507
240,11401,John Woo,2.601507
241,5231,Wolfgang Petersen,2.601507
242,20400,Tim Story,2.601507
243,1614,Ang Lee,2.601507
244,16837,Mark Steven Johnson,2.601507
245,25598,Paul Greengrass,2.601507
246,36425,McG,2.601507
247,578,Ridley Scott,2.601507
248,18898,Rob Minkoff,2.601507
249,82194,Neill Blomkamp,2.601507
250,28239,David Twohy,2.601507
251,52576,José Padilha,2.601507
252,9339,Lilly Wachowski,2.601507
253,9340,Lana Wachowski,2.601507
254,3388,James L. Brooks,2.601507
255,366,James Mangold,2.601507
256,86270,Joseph Kosinski,2.601507
257,1,George Lucas,2.601507
258,1,George Lucas,2.601507
259,12890,Pete Docter,2.601507
260,366,James Mangold,2.601507
261,1,George Lucas,2.601507
262,66193,Chris Sanders,2.601507
263,71267,Kirk De Micco,2.601507
264,20674,Thomas Langmann,2.601507
265,24886,Frédéric Forestier,2.601507
266,11401,John Woo,2.601507
267,1454884,Cedric Nicolas-Troyan,2.601507
268,66739,Jonathan Liebesman,2.601507
269,11218,Alfonso Cuarón,2.601507
270,21370,Roger Donaldson,2.601507
271,1101410,Dave Green,2.601507
