,id,name,popularity
176,7087,Brad Bird,2.76686
177,151007,Peter Ramsey,2.2e-05
178,15002,Dean Parisot,0.026818
179,9181,Edward Zwick,1.089369
180,578,Ridley Scott,3.277801
181,15344,J.J. Abrams,3.828826
182,7623,Sam Raimi,1.930133
183,69797,Dean DeBlois,0.051889
184,21085,Alex Proyas,0.126389
185,18878,Rob Cohen,2.107122
186,15217,Zack Snyder,4.108712
187,7187,Richard Donner,0.734465
188,1614,Ang Lee,0.025016
189,54507,Jon M. Chu,0.640245
190,52609,Breck Eisner,0.00025
191,21692,Hironobu Sakaguchi,0.098784
192,21693,Motonori Sakakibara,0.551066
193,4945,Joe Johnston,2.11807
194,10781,Michael Apted,1.826864
195,2690,Peter Weir,0.277119
196,15557,Bill Condon,3.186229
197,20629,George Miller,1.184464
198,18865,Louis Leterrier,1.029459
199,488,Steven Spielberg,7.205305
200,223,Alejandro González Iñárritu,2.233328
201,94075,David Soren,1.201143
202,1704,Gore Verbinski,3.107182
203,18863,Eric Darnell,0.227493
204,44114,Simon J. Smith,0.460992
205,25598,Paul Greengrass,1.532249
206,57741,Mark Osborne,0.003389
207,57742,John Stevenson,0.169968
208,59026,Peyton Reed,0.976919
209,10943,Francis Lawrence,1.700731
210,52870,Tim Johnson,0.055587
211,488,Steven Spielberg,7.205305
212,865,Michael Bay,2.567437
213,12098,Chris Miller,3.030446
214,13015,Phillip Noyce,0.192108
215,6431,Darren Aronofsky,2.276303
216,488,Steven Spielberg,7.205305
217,11218,Alfonso Cuarón,0.842703
218,6201,Baz Luhrmann,1.11403
219,11614,M. Night Shyamalan,2.548871
220,65855,Ralph Zondag,0.046637
221,65856,Eric Leighton,0.172596
222,17825,Shawn Levy,0.889116
223,18864,Tom McGrath,2.127654
224,10965,Chris Columbus,1.358227
225,57270,Robert Schwentke,1.067128
226,1704,Gore Verbinski,3.107182
227,10943,Francis Lawrence,1.700731
228,6159,Ron Howard,5.661356
229,5714,Carlos Saldanha,0.652966
230,9032,Bryan Singer,3.576538
231,58189,Justin Lin,1.236449
232,956,Guy Ritchie,2.797095
233,18865,Louis Leterrier,1.029459
234,10491,Paul Verhoeven,0.714402
235,1090,John McTiernan,1.540545
236,19242,Tony Gilroy,2.16943
237,5572,Joel Schumacher,0.483252
238,6159,Ron Howard,5.661356
239,6046,Roland Emmerich,1.975199
240,11401,John Woo,1.04364
241,5231,Wolfgang Petersen,1.303007
242,20400,Tim Story,0.302768
243,1614,Ang Lee,0.025016
244,16837,Mark Steven Johnson,1.113527
245,25598,Paul Greengrass,1.532249
246,36425,McG,0.66664
247,578,Ridley Scott,3.277801
248,18898,Rob Minkoff,0.139936
249,82194,Neill Blomkamp,2.508974
250,28239,David Twohy,0.123578
251,52576,José Padilha,0.011677
252,9339,Lilly Wachowski,1.711121
253,9340,Lana Wachowski,1.119525
254,3388,James L. Brooks,0.073531
255,366,James Mangold,1.083671
256,86270,Joseph Kosinski,0.181192
257,1,George Lucas,4.915374
